SECTION,RECEIVER,,,,,,,,BARRELS,,,,,,,,,,,,,,,,,,,,,,,,WOOD,,,
FIELD ID,FRAME_SIZE,PLATFORM,DISCIPLINE,MODEL,TRIGGER_TYPE,GRADE,ENGRAVING,ACTION_FINISH,GAUGE,LENGTH,WEIGHT,CHOKE_TYPE,B1_CHOKE,B2_CHOKE,CHAMBER_LENGTH,BORE_DIAMETER,MONOBLOC,SIDERIBS_LENGTH,SIDERIBS_VENTILATION,BEAD_FRONT,BEAD_FRONT_COLOR,BEAD_FRONT_STYLE,BEAD_MID,RIB_TYPE,RIB_HEIGHT,RIB_STYLE,RIB_TRAMLINE,RIB_TRAMLINE_SIZE,RIB_TAPER_12,TRIGGER_GROUP_SPRINGS,TRIGGER_GROUP_SELECTIVE,TRIGGER_GROUP_SAFETY,WOOD_UPGRADE,FOREND_SHAPE,FOREND_CHECKER,STOCK_PROFILE
DEPENDANT VARIABLE(S),,"""FRAME_SIZE""","""PLATFORM""","""FRAME_SIZE"" & ""PLATFORM"" & ""DISCIPLINE""","""MODEL""","""""MODEL""","""GRADE""",,"""FRAME_SIZE""",,,,"""CHOKE_TYPE""","""CHOKE_TYPE""",,"""GAUGE""",,,"""SIDERIBS_LENGTH""",,"""BEAD_FRONT""","""BEAD_FRONT""",,"""MODEL""","""RIB_TYPE"" = ""FIXED""",,,"""RIB_TRAMLINE""","""FRAME_SIZE""","""TRIGGER_TYPE""","""TRIGGER_TYPE""",,,,,
VARIABLES,12,"MX --> {""FRAME_SIZE"" = 12, 20, 28}","SPORTING --> {""PLATFORM"" = MX, HT}","MX1 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = PIGEON & ELECTOCIBLES}","REMOVABLE --> {""MODEL"" = MX1, MX10, MX10RS, MX15, MX2000/3, MX2000/8, MX2005, MX8, MX8 VINTAGE, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}","LUSSO --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,BLUED,"12 --> {""FRAME_SIZE"" = 12)",28in,ALAP,SCREW IN,"0.000 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.000 --> {""CHOKE_TYPE"" = FIXED}",,"18.4 --> {""GAUGE"" = 12}",LIGHT,FULL,"VENTILATED --> {""SIDERIBS_LENGTH"" = FULL, HALF}",SCREW,"RED --> {""BEAD_FRONT"" = LONG}","STANDARD --> {""BEAD_FRONT"" = SCREW}",YES,"FIXED --> {""MODEL"" = MX1, MX12, MX16, MX20, MX2000S, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HT, TM9)","FLAT --> {""RIB_TYPE"" = FIXED}",FLAT,YES,"3MM --> {""RIB_TRAMLINE"" = YES}","11mm x  11mm --> {""FRAME_SIZE"" = 12}","FLAT --> {""TRIGGER_TYPE"" = REMOVABLE}","YES --> {""TRIGGER_TYPE"" = REMOVABLE}",AUTOSAFE,MX STANDARD GRADE,SLIM BEAVERTAIL,STANDARD,AMERICAN TRAP
,20,"HT --> {""FRAME_SIZE"" = 12, 20, 28}","TRAP --> {""PLATFORM"" = MX, HT, TM}","MX10 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = TRAP}","FIXED --> {""MODEL"" = MX12, MX12/3, MX16, MX20, MX2000S, MX2000S/3, MX28, MX28 B, MX410, MX410 B, HTS, HTS 3, HTS 5}","SC2 --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,NICKEL,"20 --> {""FRAME_SIZE"" = 12, 20}",29in,NORMAL,BOTTOM SCREW IN ONLY,"0.004 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.004 --> {""CHOKE_TYPE"" = FIXED}",,"18.5 --> {""GAUGE"" = 12}",HEAVY,HALF,"SOLID --> {""SIDERIBS_LENGTH"" = FULL, HALF}",LONG,"WHITE --> {""BEAD_FRONT"" = LONG}","GAME --> {""BEAD_FRONT"" = SCREW}",NO,"ADJUSTABLE --> {""MODEL"" = MX10, MX2000/10, HT 10, MX10RS, HT RS, MX15, TM9X, MX2008, MX2005, HT 5, MX2000/3, HT 3, MX12/3, MX2000/3)","RAMP 2mm --> {""RIB_TYPE"" = FIXED}",CONCAVE,NO,,"11mm x 7mm --> {""FRAME_SIZE"" = 12}","COIL --> {""TRIGGER_TYPE"" = REMOVABLE, FIXED}","NO --> {""TRIGGER_TYPE"" = REMOVABLE}",STANDARD,HT STANDARD GRADE,BEAVERTAIL,FULL,INTERNATIONAL TRAP
,28,"TM --> {""FRAME_SIZE"" = 12}","SKEET --> {""PLATFORM"" = MX, HT}","MX10RS --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = TRAP}",,"SC3 --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,COIN,"28 --> {""FRAME_SIZE"" = 12, 20, 28}",29.5in,HEAVY,FIXED,"0.008 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.008 --> {""CHOKE_TYPE"" = FIXED}",,"18.6 --> {""GAUGE"" = 12}",,WITHOUT,,,,,,,"RAMP 4mm --> {""RIB_TYPE"" = FIXED}",,,,"10mm x 7mm --> {""FRAME_SIZE"" = 20}",,,,MX2000,ENGLISH SPORTING,,AMERICAN SKEET
,,"DC --> {""FRAME_SIZE"" = 12, 20}","GAME --> {""PLATFORM"" = MX, HT, DC}","MX12 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, GAME}",,"SC3 GOLD --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,CASE COLORED,"410 --> {""FRAME_SIZE"" = 12, 20, 28}",30in,,,"0.012 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.012 --> {""CHOKE_TYPE"" = FIXED}",,"18.7 --> {""GAUGE"" = 12}",,,,,,,,,"RAMP 6mm --> {""RIB_TYPE"" = FIXED}",,,,"7mm x 7mm --> {""FRAME_SIZE"" = 12, 20, 28}",,,,SC2,THIN ENGLISH SPORTING,,INTERNATIONAL SKEET
,,,"PIGEON & ELECTOCIBLES --> {""PLATFORM"" = MX)","MX12/3 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, GAME}",,"SC3 SIDEPLATES --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,"16 --> {""FRAME_SIZE"" = 12}",31in,,,"0.016 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.016 --> {""CHOKE_TYPE"" = FIXED}",,"18.8 --> {""GAUGE"" = 12}",,,,,,,,,"STEP 2mm --> {""RIB_TYPE"" = FIXED}",,,,"7mm x 4mm --> {""FRAME_SIZE"" = 12, 20, 28}",,,,SC3,SCHNABLE,,AMERICAN SPORTING
,,,,"MX15 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = TRAP}",,"SC3 GOLD SIDEPLATES --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,32in,,,"0.020 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.020 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,"STEP 4mm --> {""RIB_TYPE"" = FIXED}",,,,,,,,SCO,ROUND,,UK SPORTER
,,,,"MX16 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"SCO --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,33in,,,"0.024 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.024 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,SCO GOLD,GAME,,AMERICAN GAME
,,,,"MX20 --> {""FRAME_SIZE"" = 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, GAME}",,"SCO GOLD --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,34in,,,"0.028 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.028 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,EXTRA,,,UK GAME
,,,,"MX2000/3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"SCO SIDEPLATES --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,35in,,,"0.032 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.032 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,PRINCE OF WALES
,,,,"MX2000/8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"SCO GOLD SIDEPLATES --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.036 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.036 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,AUSTRALIANA
,,,,"MX2000S --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.040 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.040 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,WOODWARD
,,,,"MX2000S/3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA GOLD --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,"0.044 --> {""CHOKE_TYPE"" = BOTTOM SCREW IN ONLY, FIXED}","0.044 --> {""CHOKE_TYPE"" = FIXED}",,,,,,,,,,,,,,,,,,,,,,PURDEY
,,,,"MX2005 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"EXTRA SUPER --> {""MODEL"" = MX1, MX10, MX10RS, MX12, MX12/3, MX15, MX16, MX20, MX2000/3, MX2000/8, MX2000S, MX2000S/3, MX2005, MX28, MX28 B, MX410, MX410 B, MX8, MX8 VINTAGE, HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS, TM9, TM9X, DC 12, DC 20}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENGLISH STRAIGHT
,,,,"MX28 --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MONTE CARLO
,,,,"MX28 B --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"PLATINUM --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX410 --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"2020 --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX410 B --> {""FRAME_SIZE"" = 28), {""PLATFORM"" = MX}, {""DISCIPLINE"" = GAME}",,"2024 --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"X --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"MX8 VINTAGE --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = MX}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"P --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"2020 PALLADIUM --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS 3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"2020 GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HTS 5 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,"X GOLD --> {""MODEL"" = HTS, HTS 3, HTS 5, HT, HT 3, HT 5, HT 8, HT 10, HT RS}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 3 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 5 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 8 --> {""FRAME_SIZE"" = 12, 20), {""PLATFORM"" = HT}, {""DISCIPLINE"" = SPORTING, TRAP, SKEET, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT 10 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = HT}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"HT RS --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = HT}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TM9 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = TM}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"TM9X --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = TM}, {""DISCIPLINE"" = TRAP}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"DC 12 --> {""FRAME_SIZE"" = 12), {""PLATFORM"" = DC}, {""DISCIPLINE"" = SPORTING, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"DC 20 --> {""FRAME_SIZE"" = 20), {""PLATFORM"" = DC}, {""DISCIPLINE"" = SPORTING, GAME}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,