DATABASE_ID,MODEL_NAME,BASE_MODEL,PLATFORM,TRIGGER_TYPE,TRIGGER_GROUP_SPRINGS,GRADE,COMBO,GAUGE_1,GAUGE_2,BARREL_CONFIG,DISCIPLINE,RIB_TYPE,RIB_ADJUSTABLE_NOTCH,RIB_HEIGHT,RIB_STYLE_1,RIB_STYLE_2,RIB_STYLE_3
1_DC,DC,DC,DC,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
2_DC_Extra,DC Extra,DC ,DC,Removable,Flat Springs or Coil Springs,Extra,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
3_DC_Extra_Gold,DC Extra Gold,DC ,DC,Removable,Flat Springs or Coil Springs,Extra Gold,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
4_DC_Extra_Super,DC Extra Super,DC ,DC,Removable,Flat Springs or Coil Springs,Extra Super,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
5_DC_SC2,DC SC2,DC ,DC,Removable,Flat Springs or Coil Springs,SC2,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
6_DC_SC3,DC SC3,DC ,DC,Removable,Flat Springs or Coil Springs,SC3,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
7_DC_SCO,DC SCO,DC ,DC,Removable,Flat Springs or Coil Springs,SCO,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
8_DC_SCO_Gold,DC SCO Gold,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Gold,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
9_DC_SCO_Gold_Sideplates,DC SCO Gold Sideplates,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Gold Sideplates,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
10_DC_SCO_Sideplates,DC SCO Sideplates,DC ,DC,Removable,Flat Springs or Coil Springs,SCO Sideplates,,12 GA,20 GA,Side by Side,"Sporting, Game",Fixed,,,Flat,Step,Ramp
11_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
12_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
13_High_Tech,High Tech,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
14_High_Tech_,High Tech ,High Tech,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
15_High_Tech_10,High Tech 10,High Tech 10,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
16_High_Tech_10,High Tech 10,High Tech 10,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
17_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
18_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
19_High_Tech_2020,High Tech 2020,High Tech,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Top Single,Trap,Fixed,,,Flat,Step,Ramp
20_High_Tech_2020_3,High Tech 2020 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,3,8mm,Notch,,
21_High_Tech_2020_3,High Tech 2020 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
22_High_Tech_2020_3_Gold,High Tech 2020 3 Gold,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
23_High_Tech_2020_3_Palladium,High Tech 2020 3 Palladium,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
24_High_Tech_2020_5,High Tech 2020 5,High Tech 5,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,5,24mm,Notch,,
25_High_Tech_2020_5,High Tech 2020 5,High Tech 5,HT,Removable,Flat Springs or Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
26_High_Tech_2020_5_Gold,High Tech 2020 5 Gold,High Tech 5,HT,Removable,Flat Springs or Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
27_High_Tech_2020_5_Palladium,High Tech 2020 5 Palladium,High Tech 5,HT,Removable,Flat Springs or Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
28_High_Tech_2020_Gold,High Tech 2020 Gold,High Tech,HT,Removable,Flat Springs or Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
29_High_Tech_2020_Palladium,High Tech 2020 Palladium,High Tech,HT,Removable,Flat Springs or Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
30_High_Tech_2020_RS,High Tech 2020 RS,High Tech RS,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,
31_High_Tech_2020/10,High Tech 2020/10,High Tech 10,HT,Removable,Flat Springs or Coil Springs,2020,Yes,12 GA,,Top Single,Trap,Adjustable,4,17mm,Notch,,
32_High_Tech_2024,High Tech 2024,High Tech,HT,Removable,Flat Springs or Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
33_High_Tech_2024_3,High Tech 2024 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
34_High_Tech_2024_5,High Tech 2024 5,High Tech 5,HT,Removable,Flat Springs or Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
35_High_Tech_3,High Tech 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
36_High_Tech_3_Gold,High Tech 3 Gold,High Tech 3,HT,Removable,Flat Springs or Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
37_High_Tech_3_Platinum,High Tech 3 Platinum,High Tech 3,HT,Removable,Flat Springs or Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
38_High_Tech_3_SC3,High Tech 3 SC3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
39_High_Tech_3_SC3_Gold,High Tech 3 SC3 Gold,High Tech 3,HT,Removable,Flat Springs or Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
40_High_Tech_3_SCO,High Tech 3 SCO,High Tech 3,HT,Removable,Flat Springs or Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
41_High_Tech_3_SCO_Gold,High Tech 3 SCO Gold,High Tech 3,HT,Removable,Flat Springs or Coil Springs,SCO Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
42_High_Tech_5,High Tech 5,High Tech 5,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
43_High_Tech_5_Gold,High Tech 5 Gold,High Tech 5,HT,Removable,Flat Springs or Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
44_High_Tech_5_Platinum,High Tech 5 Platinum,High Tech 5,HT,Removable,Flat Springs or Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
45_High_Tech_5_SC3,High Tech 5 SC3,High Tech 5,HT,Removable,Flat Springs or Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
46_High_Tech_5_SC3_Gold,High Tech 5 SC3 Gold,High Tech 5,HT,Removable,Flat Springs or Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
47_High_Tech_5_SCO,High Tech 5 SCO,High Tech 5,HT,Removable,Flat Springs or Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
48_High_Tech_5_SCO_Gold,High Tech 5 SCO Gold,High Tech 5,HT,Removable,Flat Springs or Coil Springs,SCO Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
49_High_Tech_8_Gold,High Tech 8 Gold,High Tech 8 ,HT,Removable,Flat Springs or Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,34mm,Notch,,
50_High_Tech_8_Platinum,High Tech 8 Platinum,High Tech 8 ,HT,Removable,Flat Springs or Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,34mm,Notch,,
51_High_Tech_Gold,High Tech Gold,High Tech,HT,Removable,Flat Springs or Coil Springs,Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
52_High_Tech_Gold,High Tech Gold,High Tech,HT,Removable,Flat Springs or Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
53_High_Tech_Lusso,High Tech Lusso,High Tech,HT,Removable,Flat Springs or Coil Springs,Lusso,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
54_High_Tech_Lusso,High Tech Lusso,High Tech,HT,Removable,Flat Springs or Coil Springs,Lusso,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
55_High_Tech_P,High Tech P,High Tech,HT,Removable,Flat Springs or Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
56_High_Tech_P_3,High Tech P 3,High Tech 3,HT,Removable,Flat Springs or Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
57_High_Tech_P_5,High Tech P 5,High Tech 5,HT,Removable,Flat Springs or Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
58_High_Tech_Platinum,High Tech Platinum,High Tech,HT,Removable,Flat Springs or Coil Springs,Platinum,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
59_High_Tech_Platinum,High Tech Platinum,High Tech,HT,Fixed,Coil Springs,Platinum,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
60_High_Tech_Platinum,High Tech Platinum,High Tech,HT,Removable,Flat Springs or Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
61_High_Tech_RS,High Tech RS,High Tech RS,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,4,10mm,Notch,,
62_High_Tech_RS,High Tech RS,High Tech RS,HT,Removable,Flat Springs or Coil Springs,Standard,,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,
63_High_Tech_RS,High Tech RS,High Tech RS,HT,Removable,Flat Springs or Coil Springs,Standard,Yes,12 GA,,Unsingle,Trap,Adjustable,4,10mm,Notch,,
64_High_Tech_RS_SC3,High Tech RS SC3,High Tech RS ,HT,Removable,Flat Springs or Coil Springs,SC3,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,4,10mm,Notch,,
65_High_Tech_RS_SC3_Gold,High Tech RS SC3 Gold,High Tech RS ,HT,Removable,Flat Springs or Coil Springs,SC3 Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Adjustable,4,10mm,Notch,,
66_High_Tech_S,High Tech S,High Tech S,HT,Fixed,Coil Springs,Standard,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
67_High_Tech_S,High Tech S,High Tech S,HT,Fixed,Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
68_High_Tech_S_2020,High Tech S 2020,High Tech S,HT,Fixed,Coil Springs,2020,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
69_High_Tech_S_2020,High Tech S 2020,High Tech S,HT,Fixed,Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
70_High_Tech_S_2020_(Scaled_Frame),High Tech S 2020 (Scaled Frame),High Tech S,HT,Fixed,Coil Springs,2020,,28 GA,410 GA,Over / Under,All Disciplines,Fixed,,,,,
71_High_Tech_S_2020_3,High Tech S 2020 3,High Tech S 3,HT,Fixed,Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
72_High_Tech_S_2020_3_Gold,High Tech S 2020 3 Gold,High Tech S 3,HT,Fixed,Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
73_High_Tech_S_2020_3_Palladium,High Tech S 2020 3 Palladium,High Tech S 3,HT,Fixed,Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
74_High_Tech_S_2020_5,High Tech S 2020 5,High Tech S 5,HT,Fixed,Coil Springs,2020,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
75_High_Tech_S_2020_5_Gold,High Tech S 2020 5 Gold,High Tech S,HT,Fixed,Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
76_High_Tech_S_2020_5_Palladium,High Tech S 2020 5 Palladium,High Tech S,HT,Fixed,Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
77_High_Tech_S_2020_Gold,High Tech S 2020 Gold,High Tech S,HT,Fixed,Coil Springs,2020 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
78_High_Tech_S_2020_Palladium,High Tech S 2020 Palladium,High Tech S,HT,Fixed,Coil Springs,2020 Palladium,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
79_High_Tech_S_2024,High Tech S 2024,High Tech S,HT,Fixed,Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
80_High_Tech_S_2024_(Scaled_Frame),High Tech S 2024 (Scaled Frame),High Tech S,HT,Fixed,Coil Springs,2024,,28 GA,410 GA,Over / Under,All Disciplines,Fixed,,,,,
81_High_Tech_S_2024_3,High Tech S 2024 3,High Tech S 3,HT,Fixed,Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
82_High_Tech_S_2024_5,High Tech S 2024 5,High Tech S 5,HT,Fixed,Coil Springs,2024,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
83_High_Tech_S_3,High Tech S 3,High Tech S 3,HT,Fixed,Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
84_High_Tech_S_3_Gold,High Tech S 3 Gold,High Tech S 3,HT,Fixed,Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
85_High_Tech_S_3_Platinum,High Tech S 3 Platinum,High Tech S 3,HT,Fixed,Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
86_High_Tech_S_3_SC3,High Tech S 3 SC3,High Tech S 3,HT,Fixed,Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
87_High_Tech_S_3_SC3_Gold,High Tech S 3 SC3 Gold,High Tech S 3,HT,Fixed,Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
88_High_Tech_S_3_SCO,High Tech S 3 SCO,High Tech S 3,HT,Fixed,Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
89_High_Tech_S_3_SCO_Gold,High Tech S 3 SCO Gold,High Tech S 3,HT,Fixed,Coil Springs,SCO Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
90_High_Tech_S_5,High Tech S 5,High Tech S 5,HT,Fixed,Coil Springs,Standard,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
91_High_Tech_S_5_Gold,High Tech S 5 Gold,High Tech S 5,HT,Fixed,Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
92_High_Tech_S_5_Platinum,High Tech S 5 Platinum,High Tech S 5,HT,Fixed,Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
93_High_Tech_S_5_SC3,High Tech S 5 SC3,High Tech S 5,HT,Fixed,Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
94_High_Tech_S_5_SC3_Gold,High Tech S 5 SC3 Gold,High Tech S 5,HT,Fixed,Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
95_High_Tech_S_5_SCO,High Tech S 5 SCO,High Tech S 5,HT,Fixed,Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
96_High_Tech_S_5_SCO_Gold,High Tech S 5 SCO Gold,High Tech S 5,HT,Fixed,Coil Springs,SCO Gold,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
97_High_Tech_S_Gold,High Tech S Gold,High Tech S,HT,Fixed,Coil Springs,Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
98_High_Tech_S_Gold,High Tech S Gold,High Tech S,HT,Fixed,Coil Springs,Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
99_High_Tech_S_P,High Tech S P,High Tech S,HT,Fixed,Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
100_High_Tech_S_P_3,High Tech S P 3,High Tech S 3,HT,Fixed,Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,3,8mm,Notch,,
101_High_Tech_S_P_5,High Tech S P 5,High Tech S 5,HT,Fixed,Coil Springs,P,,12 GA,20 GA,Over / Under,All Disciplines,Adjustable,5,24mm,Notch,,
102_High_Tech_S_Platinum,High Tech S Platinum,High Tech S,HT,Fixed,Coil Springs,Platinum,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
103_High_Tech_S_SC3,High Tech S SC3,High Tech S,HT,Fixed,Coil Springs,SC3,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
104_High_Tech_S_SC3,High Tech S SC3,High Tech S,HT,Fixed,Coil Springs,SC3,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
105_High_Tech_S_SC3_Gold,High Tech S SC3 Gold,High Tech S,HT,Fixed,Coil Springs,SC3 Gold,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
106_High_Tech_S_SC3_Gold,High Tech S SC3 Gold,High Tech S,HT,Fixed,Coil Springs,SC3 Gold,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
107_High_Tech_S_SCO,High Tech S SCO,High Tech S,HT,Fixed,Coil Springs,SCO,Yes,12 GA,,Over / Under,"Skeet, Sporting",Fixed,,,Flat,Step,Ramp
108_High_Tech_S_SCO,High Tech S SCO,High Tech S,HT,Fixed,Coil Springs,SCO,,12 GA,20 GA,Over / Under,All Disciplines,Fixed,,,Flat,Step,Ramp
